203,avocado,12,234,2.9,21
204,bananas,27,105,1.3,0.4
205,black seedless grapes,27,104,1,0.2
206,blackberries,14.7,62,2,0.7
207,cantaloupe,12,50,1,0.3
208,Fuji apples,25,95,0.5,0.3
209,Gala apples,25,95,0.5,0.3
210,Granny Smith apples,25,95,0.5,0.3
211,Cara Cara oranges,27,70,1,0.2
212,lemon,5.4,17,0.6,0.2
213,mandarins,12,47,0.8,0.3
214,navel oranges,14,69,1,0.2
215,red seedless grapes,27,104,1,0.2
216,watermelons,11,46,1,0
217,Honey mango,28,99,1.4,0.6
218,mango,35,135,1.6,0.5
219,pineapples,22,82,0.9,0.2
220,baby carrots,7,30,1,0
221,baby spinach,0.4,7,0.9,0.1
222,bella sweets™ super sweet mini peppers,5,25,1,0
223,broccoli slaw,7,40,2,2
224,butternut diced,22,85,1,0.3
225,Cal-Organic® rainbow carrots,12,52,1,0.3
226, Asian style chopped salad kit,10,100,3,5
227, sweetkale chopped salad kit,14,150,3,11
228,celery,3,6,0.3,0.1
229,English cucumber,2.2,15,0.8,0.1
230,cucumber,3.78,15,0.65,0.11
231,French green beans,7,34,2,0.4
232,green lima beans,27,176,10,1
233,cabbage,5,22,1,0.1
234,classic coleslaw,11,90,1,5
235,iceberg lettuce,2,10,1,0.1
236,mixed lettuce,2,12,1.2,0.3
237,red cabbage,6,22,1,0
238,romaine hearts2.85,17,1.23,0.3,0
239,portobello mushroom caps,3,18,2,0.3
240,sliced baby bella mushrooms,3.1,18,2.2,0.3
241,white mushrooms,3.3,22,3.1,0.3
242,garlic,33.06,149,6.36,0.5
243,peeled garlic,16.3,149,6.36,0.5
244,red onions,10,45,1,0.7
245,shallots,12,72,2,0.1
246,sweet yellow onion,9.34,40,1.1,0.1
247,asparagus,5,20,2,0
248,Brussels sprouts,9,43,3.4,0.3
249,corn,21,95,2,1
250,sweet bell peppers,6,30,1,0.3
251,sweet potatoes,27,103,2,0.2
252,potatoes,37,161,4,0.2
253,red baby potatoes,24,103,2,0.1
254,cooked beets,17,75,2,0.2
255,Beets,13,58,2,0.2
256,ginger,1,5,0.7,0
257,acorn squash,15,56,1,0.1
258,Butterball® turkey bacon original,0,25,2,2
259,hickory smoked bacon,0,42,3,3
260,Black Angus beef stir fry,12,320,25,14
261,Black Angus top round steak,0,150,24,5
262,ground beef 73% lean,0,231,21,16
263,ground beef 85% lean,0,219,19,15
264,Frenched rack of lamb,0,290,21,23
265,organic chicken party wings,1,150,15,8
266,organic boneless skinless chicken breasts,1,165,31,3
267,whole young chicken,0,140,27,3
268,chicken leg quarters,0,220,20,16
269,fresh Italian sausage,1.1,230,13.5,18.3
270,Kind® breakfast bars peanut butter,17,250,7,12
271,Kind Healthy Grains® granola bars peanut butter,21,150,3,7
272,Cheerios™ cereal,20,100,3,2
273,chocolate squares cereal,27,130,3,2
274,Cinnamon Toast Crunch™ cereal,25,130,2,3
275,cluster of oats & honey cereal,25,120,3,2
276,Quaker® instant oatmeal  maple brown sugar,32,160,4,2
277,Quaker® instant oatmeal  apples & cinnamon,33,160,4,2.5
278,Quaker® instant variety pack,27,120,3,2
279,breakfast biscuits  blueberry flavored,20,180,3,7
280,breakfast biscuits oatmeal,27,145,5,2
281,100% orange juice,26,112,2,0.5
282,Monster Energy® drink,54,210,2,0
283,Red Bull® energy drink,28,115,0,0
284,Red Bull® energy drink sugar free,0.4,10,0.5,0
285,Minute Maid® fruit punch.27,100,0,0,0
286,Solevita 100% apple juice,28,120,0.5,0
287,Chilean Atlantic skinless salmon fillet portions,0,230,25,15
288,cold smoked Norwegian salmon,0.7,130,18,8
289,Fish Market cedar plank Atlantic salmon skin on,0,200,24,11
290,smoked roasted Norwegian salmon,0,190,23,11
291,frozen jumbo cooked shrimp peeled & deveined,0,65,13,1.2
292,coca cola diet,0,0,0,0
293,Coca Cola Original,39,140,0,0
294,coca cola zero,0,0,0,0
295,Fanta Orange,44,160,0,0
296,Sprite Zero Sugar,0,0,0,0
297,Dr Pepper,40,150,0,0
298,pepsi,41,150,0,0
299,pepsi max,0,0,0,0
300,diet pepsi,0,0,0,0
301,Pepsi Max Cherry,0,1,0,0
